,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,1,0.6441678404808044,0.6647946528988622,-18.15880290768094
1,Maharashtra,1,5,1,5,0.7319995164871216,0.7491121600148842,-23.32691308267219
2,Maharashtra,1,5,1,8,0.4015299677848816,0.42927408270688716,-6.9884523982912565
3,Maharashtra,1,5,1,16,0.07892060279846191,0.08821351028625085,0.6626633553904391
4,Maharashtra,1,5,1,32,0.1087276041507721,0.11350563041416455,0.44149357987796534
5,Maharashtra,1,5,2,1,0.7663785219192505,0.781283454178743,-25.46126376937801
6,Maharashtra,1,5,2,5,0.5894647240638733,0.6087288977002699,-15.063536655790983
7,Maharashtra,1,5,2,8,0.17653170228004456,0.19084546597891291,-0.5789086741498444
8,Maharashtra,1,5,2,16,0.18806461989879608,0.20409923533887944,-0.8058266064336317
9,Maharashtra,1,5,2,32,0.13343939185142517,0.144961637764064,0.08903959544662976
10,Maharashtra,1,7,1,1,0.6542642116546631,0.673399482061064,-20.573156859774812
11,Maharashtra,1,7,1,5,0.7352198958396912,0.7506571513332894,-25.807193387746416
12,Maharashtra,1,7,1,8,0.39643052220344543,0.4213320275594048,-7.44533815972374
13,Maharashtra,1,7,1,16,0.07804003357887268,0.0859666173548039,0.6484170358479522
14,Maharashtra,1,7,1,32,0.06710947304964066,0.06810130041749654,0.7793627258627053
15,Maharashtra,1,7,2,1,0.7728922963142395,0.7863728601016967,-28.418813997821918
16,Maharashtra,1,7,2,5,0.5945754051208496,0.6120393655807171,-16.82078463740968
17,Maharashtra,1,7,2,8,0.1599668264389038,0.17230262986024555,-0.41238119801461104
18,Maharashtra,1,7,2,16,0.1930493265390396,0.2055383604222489,-1.009805092720879
19,Maharashtra,1,7,2,32,0.11718600988388062,0.13341455180746392,0.1532123175865121
20,Maharashtra,1,15,1,1,0.670394778251648,0.6832237986451515,-33.19759887551311
21,Maharashtra,1,15,1,5,0.7540362477302551,0.7639075108387233,-41.751485773353004
22,Maharashtra,1,15,1,8,0.3968779146671295,0.4120403250026523,-11.43795840409774
23,Maharashtra,1,15,1,16,0.09480201452970505,0.10062256858980202,0.2582450648358502
24,Maharashtra,1,15,1,32,0.07808025926351547,0.08195765350056124,0.5079052768151373
25,Maharashtra,1,15,2,1,0.7984278798103333,0.8069307115086225,-46.70260447594042
26,Maharashtra,1,15,2,5,0.6146010756492615,0.6256865068930203,-27.680269778456125
27,Maharashtra,1,15,2,8,0.11569573730230331,0.12418586127625947,-0.12983246722592834
28,Maharashtra,1,15,2,16,0.19563938677310944,0.20447075229581474,-2.0628946218584536
29,Maharashtra,1,15,2,32,0.11219459027051926,0.11790851672127257,-0.018497639770569174
30,Maharashtra,2,5,1,1,0.5488907098770142,0.5652616840928177,-12.85135993404016
31,Maharashtra,2,5,1,5,0.3386325538158417,0.35955246399815105,-4.60425444753906
32,Maharashtra,2,5,1,8,0.2886682450771332,0.31081574274960794,-3.187929123900089
33,Maharashtra,2,5,1,16,0.2466973066329956,0.2599564905166018,-1.9295076010375771
34,Maharashtra,2,5,1,32,0.12013699114322662,0.12338428180041702,0.3400470428717218
35,Maharashtra,2,5,2,1,0.63621985912323,0.6539582016519311,-17.53929861162014
36,Maharashtra,2,5,2,5,0.3236270546913147,0.3403745102061076,-4.022354608574921
37,Maharashtra,2,5,2,8,0.27141499519348145,0.29031722219956646,-2.653750605152376
38,Maharashtra,2,5,2,16,0.2219332754611969,0.23225139327960734,-1.3383524013238932
39,Maharashtra,2,5,2,32,0.17936517298221588,0.18601591155868433,-0.5000077494100112
40,Maharashtra,2,7,1,1,0.5572502017021179,0.5720905908576656,-14.570325309282024
41,Maharashtra,2,7,1,5,0.3411611318588257,0.3590767701038229,-5.133985450432132
42,Maharashtra,2,7,1,8,0.3314391076564789,0.35317897046613583,-4.934140196419146
43,Maharashtra,2,7,1,16,0.23635995388031006,0.246114987259289,-1.8816699454455552
44,Maharashtra,2,7,1,32,0.1987942010164261,0.2036446471720409,-0.9729410117504913
45,Maharashtra,2,7,2,1,0.6387144327163696,0.6548109397960622,-19.398583831515
46,Maharashtra,2,7,2,5,0.32913103699684143,0.34473516437291624,-4.653784419320218
47,Maharashtra,2,7,2,8,0.31742972135543823,0.33266286799493955,-4.264738863965625
48,Maharashtra,2,7,2,16,0.2101956456899643,0.22099913099008045,-1.3235350076638515
49,Maharashtra,2,7,2,32,0.2271701544523239,0.2357015105316433,-1.6429738212146536
50,Maharashtra,2,15,1,1,0.5905850529670715,0.6001182658146017,-25.38416815901103
51,Maharashtra,2,15,1,5,0.378749281167984,0.38993687100427754,-10.139309468813599
52,Maharashtra,2,15,1,8,0.33654218912124634,0.3505301045877482,-8.001611419426016
53,Maharashtra,2,15,1,16,0.22881652414798737,0.2339583508216079,-3.010022134034336
54,Maharashtra,2,15,1,32,0.15753406286239624,0.15901415941894248,-0.8524275370220027
55,Maharashtra,2,15,2,1,0.6515399217605591,0.6618920929010123,-31.095490713750856
56,Maharashtra,2,15,2,5,0.3451630175113678,0.35526930275514296,-8.246663828698026
57,Maharashtra,2,15,2,8,0.32289543747901917,0.3339643639709928,-7.1708996485159116
58,Maharashtra,2,15,2,16,0.23615685105323792,0.24343168705915677,-3.341341086107798
59,Maharashtra,2,15,2,32,0.174411341547966,0.1764665279508608,-1.28136279969402
60,Maharashtra,3,5,1,1,0.5413388609886169,0.5584863145922264,-12.521298061255996
61,Maharashtra,3,5,1,5,0.2994251549243927,0.31106013941774524,-3.1945175544651265
62,Maharashtra,3,5,1,8,0.24125619232654572,0.24964730895349455,-1.7017618728951134
63,Maharashtra,3,5,1,16,0.3864026963710785,0.405408262323825,-6.1248958211208
64,Maharashtra,3,5,1,32,0.20238687098026276,0.20737997411300527,-0.8643477623608335
65,Maharashtra,3,5,2,1,1.088102102279663,1.0986510415154347,-51.32544071110955
66,Maharashtra,3,5,2,5,0.3852105438709259,0.4045576645827214,-6.095029468114183
67,Maharashtra,3,5,2,8,0.3939295709133148,0.4150897544870149,-6.469255986921799
68,Maharashtra,3,5,2,16,0.3361557424068451,0.3530117680449472,-4.402212505988473
69,Maharashtra,3,5,2,32,0.2521665692329407,0.26256323972242324,-1.9885542076328768
70,Maharashtra,3,7,1,1,0.5364726185798645,0.5520194994412486,-13.496959420384973
71,Maharashtra,3,7,1,5,0.298812597990036,0.30936146860682506,-3.5530302783664673
72,Maharashtra,3,7,1,8,0.2679723799228668,0.2745276789468245,-2.5854228852700154
73,Maharashtra,3,7,1,16,0.39528003334999084,0.4116247138501101,-7.060667762698076
74,Maharashtra,3,7,1,32,0.24243509769439697,0.24809381085976592,-1.9281948011874528
75,Maharashtra,3,7,2,1,1.0957129001617432,1.1052633573237935,-57.11652801636215
76,Maharashtra,3,7,2,5,0.3908616304397583,0.40893113774442075,-6.955519070095921
77,Maharashtra,3,7,2,8,0.38958126306533813,0.40716316223601284,-6.886877145616251
78,Maharashtra,3,7,2,16,0.35045626759529114,0.3646232469599617,-5.324946007707133
79,Maharashtra,3,7,2,32,0.24533326923847198,0.2502523281339718,-1.9793697480383567
80,Maharashtra,3,15,1,1,0.5372822880744934,0.5472303326027784,-20.938653430565715
81,Maharashtra,3,15,1,5,0.31117019057273865,0.31742102759715485,-6.381439174309715
82,Maharashtra,3,15,1,8,0.27767059206962585,0.2810596510692074,-4.787175841823493
83,Maharashtra,3,15,1,16,0.3817586898803711,0.39185720646690664,-10.249294177788292
84,Maharashtra,3,15,1,32,0.1892387866973877,0.19061703391705864,-1.6619083860746846
85,Maharashtra,3,15,2,1,1.1251920461654663,1.1312414390282182,-92.7519434125722
86,Maharashtra,3,15,2,5,0.40398719906806946,0.41523176319811717,-11.631379992908297
87,Maharashtra,3,15,2,8,0.3809531331062317,0.3933666338435513,-10.336127971473157
88,Maharashtra,3,15,2,16,0.3474653363227844,0.3561020334710624,-8.290062453090378
89,Maharashtra,3,15,2,32,0.13861143589019775,0.1418260110918413,-0.4736060349426523
90,Maharashtra,4,5,1,1,0.7520540952682495,0.7673974054958298,-24.529008962788964
91,Maharashtra,4,5,1,5,0.3096436560153961,0.3301044882454494,-3.7238507391919358
92,Maharashtra,4,5,1,8,0.41901180148124695,0.4428565749508649,-7.501969180514044
93,Maharashtra,4,5,1,16,0.12820643186569214,0.13986251667838118,0.15199965538157045
94,Maharashtra,4,5,1,32,0.16227811574935913,0.1756826601114958,-0.33798455379927894
95,Maharashtra,4,5,2,1,0.7296064496040344,0.7452472458269938,-23.076540511929093
96,Maharashtra,4,5,2,5,0.6493721604347229,0.666369861356135,-18.249704039512206
97,Maharashtra,4,5,2,8,0.287010133266449,0.30862824935253175,-3.1291883514054843
98,Maharashtra,4,5,2,16,0.1352570801973343,0.1582449751707038,-0.08555847851715348
99,Maharashtra,4,5,2,32,0.17227435111999512,0.19240663835958122,-0.6048462871610083
100,Maharashtra,4,7,1,1,0.7582826018333435,0.7721963036103638,-27.367663824229915
101,Maharashtra,4,7,1,5,0.32185426354408264,0.34017040733135384,-4.505048994723949
102,Maharashtra,4,7,1,8,0.4204951226711273,0.44236797451035986,-8.309695887675867
103,Maharashtra,4,7,1,16,0.1467674970626831,0.15775128584245507,-0.18389705391203393
104,Maharashtra,4,7,1,32,0.14859630167484283,0.1659875789962599,-0.31074826810260747
105,Maharashtra,4,7,2,1,0.7351760268211365,0.7493355509831521,-25.71288041362308
106,Maharashtra,4,7,2,5,0.6514233350753784,0.667096913104377,-20.171223117151758
107,Maharashtra,4,7,2,8,0.396261990070343,0.41110254751699904,-7.0402293412442045
108,Maharashtra,4,7,2,16,0.14995451271533966,0.1730210071802462,-0.4241828404258252
109,Maharashtra,4,7,2,32,0.19939304888248444,0.22059030096522078,-1.3149466978691402
110,Maharashtra,4,15,1,1,0.7821701169013977,0.7910047742311328,-44.83823077517478
111,Maharashtra,4,15,1,5,0.33423373103141785,0.3457669560183879,-7.758640070954433
112,Maharashtra,4,15,1,8,0.4347131550312042,0.4486419125449025,-13.745833202277069
113,Maharashtra,4,15,1,16,0.14694975316524506,0.1582528201099765,-0.8347318160052988
114,Maharashtra,4,15,1,32,0.14702758193016052,0.1583892586773227,-0.8378968937311435
115,Maharashtra,4,15,2,1,0.7568128705024719,0.7657778451124275,-41.961084920795784
116,Maharashtra,4,15,2,5,0.6634469628334045,0.6736555458982167,-32.24645951551623
117,Maharashtra,4,15,2,8,0.40964794158935547,0.42299586206017453,-12.108164584854228
118,Maharashtra,4,15,2,16,0.14968325197696686,0.1660374010053456,-1.0196754726805892
119,Maharashtra,4,15,2,32,0.19852428138256073,0.21532433251698552,-2.3966897117448296
120,Maharashtra,5,5,1,1,0.9725750684738159,1.0050183974902267,-42.78661229769093
121,Maharashtra,5,5,1,5,0.2874995768070221,0.31100757183121314,-3.1930999580919845
122,Maharashtra,5,5,1,8,0.4244392514228821,0.44348478854132245,-7.526107783571934
123,Maharashtra,5,5,1,16,0.2144029587507248,0.2337821296549905,-1.369277378718841
124,Maharashtra,5,5,1,32,0.2784178555011749,0.3058247859684658,-3.0545127769616167
125,Maharashtra,5,5,2,1,0.5423498153686523,0.5618181864834421,-12.683112377493424
126,Maharashtra,5,5,2,5,0.44964590668678284,0.46924350509355683,-8.545305780466247
127,Maharashtra,5,5,2,8,0.3956015110015869,0.42375868127308014,-6.784496775607255
128,Maharashtra,5,5,2,16,0.1913493573665619,0.21634327629816635,-1.0289909997064561
129,Maharashtra,5,5,2,32,0.2360859513282776,0.25797782278944403,-1.8850814034238677
130,Maharashtra,5,7,1,1,0.9979543685913086,1.0296377815434128,-49.43557878516043
131,Maharashtra,5,7,1,5,0.2871032655239105,0.3105122049039949,-3.58696556658066
132,Maharashtra,5,7,1,8,0.42720746994018555,0.4442195865758746,-8.387793294035443
133,Maharashtra,5,7,1,16,0.23532183468341827,0.2541175843098312,-2.072115887247702
134,Maharashtra,5,7,1,32,0.2703183889389038,0.29786864685090103,-3.2210225922652755
135,Maharashtra,5,7,2,1,0.5468931198120117,0.5647311202545644,-14.172304257470588
136,Maharashtra,5,7,2,5,0.4689348638057709,0.4860446057542129,-10.238812328682641
137,Maharashtra,5,7,2,8,0.4175029993057251,0.44225110583924543,-8.304778410674547
138,Maharashtra,5,7,2,16,0.19003741443157196,0.20909205006911966,-1.079903329489491
139,Maharashtra,5,7,2,32,0.2424638718366623,0.2618176572286734,-2.2611140023147995
140,Maharashtra,5,15,1,1,1.03482186794281,1.0584517943298621,-81.075177106791
141,Maharashtra,5,15,1,5,0.2977650761604309,0.316326519845935,-6.330622543633017
142,Maharashtra,5,15,1,8,0.4370209276676178,0.4478882532940266,-13.696332567584639
143,Maharashtra,5,15,1,16,0.2664361894130707,0.2786789708026836,-4.689551357548729
144,Maharashtra,5,15,1,32,0.26687175035476685,0.2896967065041601,-5.148324616262543
145,Maharashtra,5,15,2,1,0.5664153099060059,0.577867166915374,-23.46390092572787
146,Maharashtra,5,15,2,5,0.5824927687644958,0.5953410064199937,-24.96577245280016
147,Maharashtra,5,15,2,8,0.43827763199806213,0.4557536599979555,-14.217032648030797
148,Maharashtra,5,15,2,16,0.1641257405281067,0.17980172838771585,-1.3684124469514223
149,Maharashtra,5,15,2,32,0.27226364612579346,0.286612268471224,-5.0180967379050285
150,Maharashtra,6,5,1,1,0.5717551708221436,0.5952990803244799,-14.36256506620332
151,Maharashtra,6,5,1,5,0.3794841468334198,0.397919186822124,-5.864091737504695
152,Maharashtra,6,5,1,8,0.4276464581489563,0.4391324547532026,-7.359578721078371
153,Maharashtra,6,5,1,16,0.13751275837421417,0.15257209390888216,-0.009121600854812506
154,Maharashtra,6,5,1,32,0.15524716675281525,0.1614964110840039,-0.13062629459900177
155,Maharashtra,6,5,2,1,0.5129758715629578,0.5341982934141873,-11.370815646431994
156,Maharashtra,6,5,2,5,0.3117958605289459,0.337082828877751,-3.9256838702503654
157,Maharashtra,6,5,2,8,0.2543664574623108,0.28122688569348836,-2.428522203690077
158,Maharashtra,6,5,2,16,0.21985815465450287,0.24371961532626982,-1.5749825961721324
159,Maharashtra,6,5,2,32,0.17574377357959747,0.2005787410763768,-0.7440666468822261
160,Maharashtra,6,7,1,1,0.5825381278991699,0.6052278347014074,-16.42632899429198
161,Maharashtra,6,7,1,5,0.4605155289173126,0.47841901777113127,-9.888924366553116
162,Maharashtra,6,7,1,8,0.4576691687107086,0.4678217598120341,-9.411874946124549
163,Maharashtra,6,7,1,16,0.14723506569862366,0.16638120901615197,-0.3169724532486169
164,Maharashtra,6,7,1,32,0.12330717593431473,0.14244486839222273,0.03470125091224874
165,Maharashtra,6,7,2,1,0.5176126956939697,0.5368511342083118,-12.711212119101015
166,Maharashtra,6,7,2,5,0.32044467329978943,0.34363724203009516,-4.61782925999271
167,Maharashtra,6,7,2,8,0.25779885053634644,0.28712393276130843,-2.9219934345756746
168,Maharashtra,6,7,2,16,0.15779024362564087,0.1759726541912879,-0.4731889548313133
169,Maharashtra,6,7,2,32,0.23450587689876556,0.25222454680520157,-2.0265146849598135
170,Maharashtra,6,15,1,1,0.6070939302444458,0.6234348966309918,-27.47422383791908
171,Maharashtra,6,15,1,5,0.48236343264579773,0.49382247030807297,-16.865343153841273
172,Maharashtra,6,15,1,8,0.494280606508255,0.5004002935709805,-17.34445254001568
173,Maharashtra,6,15,1,16,0.1579284518957138,0.17406375323825501,-1.2196595900599587
174,Maharashtra,6,15,1,32,0.20511038601398468,0.21135751974611802,-2.272691714510265
175,Maharashtra,6,15,2,1,0.5412763953208923,0.5537418309765211,-21.463857866439305
176,Maharashtra,6,15,2,5,0.3145771622657776,0.3297512987066439,-6.96604425867479
177,Maharashtra,6,15,2,8,0.27801021933555603,0.2966736562491273,-5.448039016011541
178,Maharashtra,6,15,2,16,0.1499025970697403,0.16601279761206789,-1.0190765822611163
179,Maharashtra,6,15,2,32,0.23625898361206055,0.25807003683003255,-3.8791571259814868
180,Karnataka,1,5,1,1,0.531856119632721,0.58851927036669,-5.325872257920656
181,Karnataka,1,5,1,5,0.644160270690918,0.6891639470443048,-7.674494552076874
182,Karnataka,1,5,1,8,0.3278760015964508,0.3945224874297643,-1.8427758297132328
183,Karnataka,1,5,1,16,0.10667674243450165,0.12644640224719025,0.7079803833326643
184,Karnataka,1,5,1,32,0.08880704641342163,0.10002462002055869,0.8172687250722364
185,Karnataka,1,5,2,1,0.6727190017700195,0.71225201992821,-8.265449017434978
186,Karnataka,1,5,2,5,0.48108047246932983,0.5349916636628568,-4.227488795837359
187,Karnataka,1,5,2,8,0.22962898015975952,0.2699245403064355,-0.3307111574860846
188,Karnataka,1,5,2,16,0.16064077615737915,0.19601764227877033,0.2982387521511627
189,Karnataka,1,5,2,32,0.17749786376953125,0.20893538426666813,0.2026976262524004
190,Karnataka,1,7,1,1,0.5395521521568298,0.5949010984383383,-5.717947914047105
191,Karnataka,1,7,1,5,0.6510546803474426,0.6938826399808455,-8.139431461551583
192,Karnataka,1,7,1,8,0.35289639234542847,0.41765809323824254,-2.3112265525246127
193,Karnataka,1,7,1,16,0.12308067083358765,0.1419170351291991,0.6176895850850663
194,Karnataka,1,7,1,32,0.15132072567939758,0.16935221781891807,0.45558652053030435
195,Karnataka,1,7,2,1,0.6804231405258179,0.7180922027482242,-8.78830743825607
196,Karnataka,1,7,2,5,0.4864693880081177,0.5379740465420313,-4.493760871420346
197,Karnataka,1,7,2,8,0.23526032269001007,0.27391454772218615,-0.42422065439170864
198,Karnataka,1,7,2,16,0.1923927366733551,0.22357921707725845,0.05112296675372252
199,Karnataka,1,7,2,32,0.20493926107883453,0.24043451671569144,-0.09733884378641733
200,Karnataka,1,15,1,1,0.5555360317230225,0.600857928954703,-7.470490127188565
201,Karnataka,1,15,1,5,0.67889803647995,0.7125743425635037,-10.913116206357063
202,Karnataka,1,15,1,8,0.390969455242157,0.4425944312678306,-3.5959666993422257
203,Karnataka,1,15,1,16,0.15402428805828094,0.17050485247897165,0.31791512482093665
204,Karnataka,1,15,1,32,0.20618808269500732,0.2242426656801586,-0.1797811599448258
205,Karnataka,1,15,2,1,0.713672399520874,0.7429336411196287,-11.949858953069059
206,Karnataka,1,15,2,5,0.5118712186813354,0.5520828235072055,-6.15111006026277
207,Karnataka,1,15,2,8,0.2558172643184662,0.2861313933770202,-0.9208609793868621
208,Karnataka,1,15,2,16,0.2021990567445755,0.23106195594789586,-0.2526273025080392
209,Karnataka,1,15,2,32,0.2666163146495819,0.2922351426026431,-1.0036867156971283
210,Karnataka,2,5,1,1,0.4558316767215729,0.5038232365325365,-3.636128486608552
211,Karnataka,2,5,1,5,0.27322062849998474,0.32432093790868965,-0.9210959747045828
212,Karnataka,2,5,1,8,0.27577367424964905,0.3286955845149214,-0.9732712139069033
213,Karnataka,2,5,1,16,0.260728657245636,0.29835015761408185,-0.6257418035116713
214,Karnataka,2,5,1,32,0.19163255393505096,0.21682143716599825,0.1413750547142657
215,Karnataka,2,5,2,1,0.5455112457275391,0.5929854640690858,-5.422248858624587
216,Karnataka,2,5,2,5,0.28964924812316895,0.331313625559022,-1.0048303975486976
217,Karnataka,2,5,2,8,0.26454874873161316,0.3072942461562864,-0.7246775833397818
218,Karnataka,2,5,2,16,0.2254304736852646,0.2556733627318014,-0.1939057355644367
219,Karnataka,2,5,2,32,0.24856875836849213,0.28120616730222114,-0.4442711558796064
220,Karnataka,2,7,1,1,0.46443861722946167,0.5105898102829478,-3.948703001192511
221,Karnataka,2,7,1,5,0.303105890750885,0.354516588112152,-1.3857240650071625
222,Karnataka,2,7,1,8,0.3035857081413269,0.3568346379532559,-1.4170246982585906
223,Karnataka,2,7,1,16,0.2673863470554352,0.3005410634949759,-0.714567986916621
224,Karnataka,2,7,1,32,0.19152884185314178,0.2110352995879513,0.15460953286458523
225,Karnataka,2,7,2,1,0.5481206774711609,0.5936062036359129,-5.68873435645499
226,Karnataka,2,7,2,5,0.276974081993103,0.3193905868198067,-0.9363831174681974
227,Karnataka,2,7,2,8,0.2783440351486206,0.3198311142505701,-0.9417283964014849
228,Karnataka,2,7,2,16,0.24644550681114197,0.28046190258795073,-0.4931204687045707
229,Karnataka,2,7,2,32,0.23492039740085602,0.26566268148737776,-0.3397020994732296
230,Karnataka,2,15,1,1,0.49675604701042175,0.5340305936243332,-5.691095126444048
231,Karnataka,2,15,1,5,0.32583409547805786,0.3636842973433375,-2.1032304607538
232,Karnataka,2,15,1,8,0.3465053141117096,0.38820259479587066,-2.535752904672298
233,Karnataka,2,15,1,16,0.2726934850215912,0.29713304498089826,-1.0714139662209736
234,Karnataka,2,15,1,32,0.19194866716861725,0.20637929577229588,0.000696987485301892
235,Karnataka,2,15,2,1,0.5696907639503479,0.6057270114518122,-7.608328677280458
236,Karnataka,2,15,2,5,0.31959423422813416,0.35310559177233014,-1.9253254905166988
237,Karnataka,2,15,2,8,0.29742541909217834,0.3304660368643417,-1.5622333688818126
238,Karnataka,2,15,2,16,0.2862354815006256,0.30974006210622845,-1.2509182481373187
239,Karnataka,2,15,2,32,0.23845914006233215,0.25770011533084014,-0.5580960584924979
240,Karnataka,3,5,1,1,0.4580744206905365,0.5027432290507593,-3.616273421787283
241,Karnataka,3,5,1,5,0.23489247262477875,0.26778217526793624,-0.3096714635752569
242,Karnataka,3,5,1,8,0.20553012192249298,0.23311682594736882,0.007463920671891611
243,Karnataka,3,5,1,16,0.3289412260055542,0.3786923306061508,-1.619220506789485
244,Karnataka,3,5,1,32,0.20232786238193512,0.22659946830635366,0.06218576482573379
245,Karnataka,3,5,2,1,0.9846284985542297,1.0120500294679093,-17.706953499232053
246,Karnataka,3,5,2,5,0.3262825608253479,0.3751907062396697,-1.5710066000960312
247,Karnataka,3,5,2,8,0.3429622948169708,0.3962514597207027,-1.8677469298526677
248,Karnataka,3,5,2,16,0.30850750207901,0.3508573347638409,-1.2483306928155393
249,Karnataka,3,5,2,32,0.24556413292884827,0.2807302573447664,-0.43938672464395645
250,Karnataka,3,7,1,1,0.45556437969207764,0.4980374354047618,-3.7083747565051493
251,Karnataka,3,7,1,5,0.23590907454490662,0.26719572768454186,-0.3552084548051182
252,Karnataka,3,7,1,8,0.22460611164569855,0.24858114570251216,-0.1729606639676795
253,Karnataka,3,7,1,16,0.33322739601135254,0.3828209856610927,-1.7818811368067782
254,Karnataka,3,7,1,32,0.18729443848133087,0.21121912276315113,0.1531361931605033
255,Karnataka,3,7,2,1,0.9932787418365479,1.0194526729777142,-18.72791728442848
256,Karnataka,3,7,2,5,0.3233720362186432,0.3727420540160344,-1.6373266958029227
257,Karnataka,3,7,2,8,0.3634471595287323,0.41638421578287754,-2.29105840135561
258,Karnataka,3,7,2,16,0.3233373761177063,0.36489560740982335,-1.5274604110968997
259,Karnataka,3,7,2,32,0.2343549132347107,0.26467520940860095,-0.3297611197571113
260,Karnataka,3,15,1,1,0.4641138017177582,0.4975099249669272,-4.807221622945351
261,Karnataka,3,15,1,5,0.25825706124305725,0.2805750881701381,-0.8469842411862263
